date,geography,geography code,population,all_public transport,all_personal transport,all_other
2011,Barking and Dagenham 001,E02000002,2325,959,1076,290
2011,Barking and Dagenham 002,E02000003,4226,1963,1778,485
2011,Barking and Dagenham 003,E02000004,2676,968,1322,386
2011,Barking and Dagenham 004,E02000005,3369,1430,1503,436
2011,Barking and Dagenham 006,E02000007,3142,1424,1310,408
2011,Barking and Dagenham 007,E02000008,4308,1900,1853,555
2011,Barking and Dagenham 008,E02000009,3274,1550,1358,366
2011,Barking and Dagenham 009,E02000010,3260,1564,1300,396
2011,Barking and Dagenham 010,E02000011,2590,1265,986,339
2011,Barking and Dagenham 011,E02000012,3950,1935,1563,452
2011,Barking and Dagenham 012,E02000013,3131,1433,1298,400
2011,Barking and Dagenham 013,E02000014,3573,1714,1356,503
2011,Barking and Dagenham 014,E02000015,2734,1317,1032,385
2011,Barking and Dagenham 015,E02000016,3065,2130,614,321
2011,Barking and Dagenham 016,E02000017,3493,2038,1030,425
2011,Barking and Dagenham 017,E02000018,3231,1595,1273,363
2011,Barking and Dagenham 018,E02000019,3265,1495,1325,445
2011,Barking and Dagenham 019,E02000020,3387,1802,1148,437
2011,Barking and Dagenham 020,E02000021,3094,1400,1264,430
2011,Barking and Dagenham 021,E02000022,2791,1736,711,344
2011,Barking and Dagenham 022,E02000023,2231,1188,788,255
2011,Barking and Dagenham 023,E02006799,3614,1573,1563,478
2011,Barnet 001,E02000024,4465,1788,1954,723
2011,Barnet 002,E02000025,3602,1487,1701,414
2011,Barnet 003,E02000026,2704,986,1438,280
2011,Barnet 004,E02000027,3796,1421,1832,543
2011,Barnet 005,E02000028,2783,1142,1343,298
2011,Barnet 006,E02000029,3812,1543,1804,465
2011,Barnet 007,E02000030,3488,1126,2015,347
2011,Barnet 008,E02000031,3035,1495,1229,311
2011,Barnet 009,E02000032,3415,1346,1700,369
2011,Barnet 010,E02000033,3663,1637,1637,389
2011,Barnet 011,E02000034,3711,1566,1683,462
2011,Barnet 012,E02000035,3526,1894,1257,375
2011,Barnet 013,E02000036,4393,1749,2196,448
2011,Barnet 014,E02000037,3813,1364,2016,433
2011,Barnet 015,E02000038,4759,2384,1829,546
2011,Barnet 016,E02000039,2789,1128,1362,299
2011,Barnet 017,E02000040,2709,1090,1198,421
2011,Barnet 018,E02000041,3646,1662,1489,495
2011,Barnet 019,E02000042,4958,2738,1525,695
2011,Barnet 020,E02000043,3256,1711,1191,354
2011,Barnet 021,E02000044,3312,1633,1307,372
2011,Barnet 022,E02000045,4581,2415,1582,584
2011,Barnet 023,E02000046,3510,2168,929,413
2011,Barnet 024,E02000047,4571,2412,1618,541
2011,Barnet 025,E02000048,4167,1778,1967,422
2011,Barnet 026,E02000049,2983,1576,1053,354
2011,Barnet 027,E02000050,4543,2359,1554,630
2011,Barnet 028,E02000051,3574,1812,1334,428
2011,Barnet 029,E02000052,4925,3070,1253,602
2011,Barnet 030,E02000053,3836,2115,1226,495
2011,Barnet 031,E02000054,3193,1523,1255,415
2011,Barnet 032,E02000055,4645,2444,1503,698
2011,Barnet 033,E02000056,3521,1603,1481,437
2011,Barnet 034,E02000057,2971,1396,1086,489
2011,Barnet 035,E02000058,4148,2236,1387,525
2011,Barnet 036,E02000059,4554,2280,1613,661
2011,Barnet 037,E02000060,3842,1937,1220,685
2011,Barnet 038,E02000061,3512,2279,860,373
2011,Barnet 039,E02000062,2703,1505,761,437
2011,Barnet 040,E02000063,2915,1661,900,354
2011,Barnet 041,E02000064,2530,1550,652,328
2011,Bexley 001,E02000065,2975,1670,1058,247
2011,Bexley 002,E02000066,3770,2081,1310,379
2011,Bexley 003,E02000067,3805,1622,1704,479
2011,Bexley 004,E02000068,3041,1372,1269,400
2011,Bexley 005,E02000069,2593,895,1352,346
2011,Bexley 006,E02000070,3528,1215,1882,431
2011,Bexley 007,E02000071,3326,1065,1771,490
2011,Bexley 008,E02000072,4397,1820,1955,622
2011,Bexley 009,E02000073,4787,1714,2525,548
2011,Bexley 010,E02000074,3164,1050,1659,455
2011,Bexley 011,E02000075,3609,1296,1835,478
2011,Bexley 013,E02000077,3617,1401,1746,470
2011,Bexley 014,E02000078,3752,1338,1981,433
2011,Bexley 015,E02000079,3574,1520,1528,526
2011,Bexley 016,E02000080,4231,1685,2027,519
2011,Bexley 017,E02000081,3241,1141,1621,479
2011,Bexley 018,E02000082,4284,1580,2209,495
2011,Bexley 019,E02000083,4280,1443,2271,566
2011,Bexley 020,E02000084,4945,1717,2589,639
2011,Bexley 021,E02000085,3716,1201,1988,527
2011,Bexley 022,E02000086,3544,1162,1900,482
2011,Bexley 023,E02000087,3326,1295,1651,380
2011,Bexley 024,E02000088,3651,1333,1872,446
2011,Bexley 025,E02000089,3514,1331,1747,436
2011,Bexley 026,E02000090,3908,1811,1559,538
2011,Bexley 027,E02000091,4047,1667,1787,593
2011,Bexley 028,E02000092,2594,846,1391,357
2011,Bexley 029,E02006785,2798,1178,1293,327
2011,Brent 001,E02000093,4857,2346,1967,544
2011,Brent 002,E02000094,3784,1760,1570,454
2011,Brent 003,E02000095,4226,2161,1636,429
2011,Brent 004,E02000096,3351,1553,1478,320
2011,Brent 005,E02000097,3784,1725,1667,392
2011,Brent 006,E02000098,3334,1792,1266,276
2011,Brent 007,E02000099,3713,2190,1203,320
2011,Brent 008,E02000100,3808,1549,1560,699
2011,Brent 009,E02000101,3609,1975,1254,380
2011,Brent 010,E02000102,2943,1492,1045,406
2011,Brent 011,E02000103,3305,1711,1168,426
2011,Brent 012,E02000104,2829,1470,994,365
2011,Brent 013,E02000105,3988,2267,1349,372
2011,Brent 014,E02000106,4197,2449,1196,552
2011,Brent 015,E02000107,5169,3538,974,657
2011,Brent 016,E02000108,2846,1635,943,268
2011,Brent 017,E02000109,4380,2502,1324,554
2011,Brent 018,E02000110,3975,2569,848,558
2011,Brent 019,E02000111,4362,2438,1268,656
2011,Brent 020,E02000112,4421,2628,1129,664
2011,Brent 021,E02000113,3183,1625,1085,473
2011,Brent 022,E02000114,4581,3163,842,576
2011,Brent 023,E02000115,4281,3016,683,582
2011,Brent 024,E02000116,3486,2417,609,460
2011,Brent 025,E02000117,4289,2476,1099,714
2011,Brent 026,E02000118,4161,1971,1371,819
2011,Brent 027,E02000119,2348,1293,725,330
2011,Brent 028,E02000120,4947,3414,634,899
2011,Brent 029,E02000121,4139,2176,1118,845
2011,Brent 030,E02000122,3580,2069,869,642
2011,Brent 031,E02000123,6014,3805,1202,1007
2011,Brent 032,E02000124,5157,3400,752,1005
2011,Brent 033,E02000125,5217,3152,1072,993
2011,Brent 034,E02000126,2970,1977,503,490
2011,Bromley 001,E02000127,3379,1501,1490,388
2011,Bromley 002,E02000128,3354,1365,1547,442
2011,Bromley 004,E02000130,3781,2234,1046,501
2011,Bromley 005,E02000131,4537,3088,899,550
2011,Bromley 006,E02000132,4518,2873,1237,408
2011,Bromley 007,E02000133,3993,2115,1592,286
2011,Bromley 008,E02000134,5260,2759,1621,880
2011,Bromley 009,E02000135,3922,2314,1059,549
2011,Bromley 010,E02000136,2068,717,1129,222
2011,Bromley 011,E02000137,3685,1889,1352,444
2011,Bromley 012,E02000138,3790,2146,1272,372
2011,Bromley 013,E02000139,3734,2132,1176,426
2011,Bromley 014,E02000140,2999,1064,1470,465
2011,Bromley 015,E02000141,3381,1801,1138,442
2011,Bromley 016,E02000142,3679,1656,1393,630
2011,Bromley 018,E02000144,4253,2201,1336,716
2011,Bromley 019,E02000145,3042,1151,1440,451
2011,Bromley 020,E02000146,3882,1797,1518,567
2011,Bromley 021,E02000147,3295,1365,1540,390
2011,Bromley 022,E02000148,2735,1287,1167,281
2011,Bromley 023,E02000149,3321,1236,1648,437
2011,Bromley 024,E02000150,3667,1508,1734,425
2011,Bromley 025,E02000151,3190,1606,1257,327
2011,Bromley 026,E02000152,2655,976,1325,354
2011,Bromley 027,E02000153,3437,1345,1662,430
2011,Bromley 028,E02000154,3562,1563,1506,493
2011,Bromley 029,E02000155,2969,1028,1522,419
2011,Bromley 030,E02000156,5159,2075,2393,691
2011,Bromley 031,E02000157,3340,1430,1514,396
2011,Bromley 032,E02000158,2846,1066,1407,373
2011,Bromley 033,E02000159,2736,930,1491,315
2011,Bromley 034,E02000160,3389,1207,1779,403
2011,Bromley 035,E02000161,3803,1595,1770,438
2011,Bromley 036,E02000162,2746,854,1473,419
2011,Bromley 037,E02000163,3306,1265,1683,358
2011,Bromley 039,E02000165,3462,716,2379,367
2011,Bromley 040,E02006782,3177,1353,1402,422
2011,Bromley 041,E02006787,3542,1765,1297,480
2011,Bromley 042,E02006789,2602,565,1739,298
2011,Camden 001,E02000166,3274,1828,562,884
2011,Camden 002,E02000167,3419,2148,545,726
2011,Camden 003,E02000168,3789,2332,381,1076
2011,Camden 004,E02000169,2911,1812,591,508
2011,Camden 005,E02000170,4443,3172,594,677
2011,Camden 006,E02000171,3608,2207,439,962
2011,Camden 007,E02000172,3778,2131,436,1211
2011,Camden 008,E02000173,3662,2451,407,804
2011,Camden 009,E02000174,4090,2575,370,1145
2011,Camden 010,E02000175,5042,3911,490,641
2011,Camden 011,E02000176,3353,2400,331,622
2011,Camden 012,E02000177,3690,2289,405,996
2011,Camden 013,E02000178,4474,3332,475,667
2011,Camden 014,E02000179,2626,1688,347,591
2011,Camden 015,E02000180,3491,2035,330,1126
2011,Camden 016,E02000181,4328,3253,437,638
2011,Camden 017,E02000182,2643,1846,336,461
2011,Camden 018,E02000183,3525,1828,437,1260
2011,Camden 019,E02000184,3551,2164,341,1046
2011,Camden 020,E02000185,3348,2313,407,628
2011,Camden 021,E02000186,3087,1710,246,1131
2011,Camden 022,E02000187,2660,1459,259,942
2011,Camden 023,E02000188,2756,1530,243,983
2011,Camden 024,E02000189,1947,969,112,866
2011,Camden 025,E02000190,2470,1153,145,1172
2011,Camden 026,E02000191,2710,1187,149,1374
2011,Camden 027,E02000192,3076,1221,159,1696
2011,Camden 028,E02000193,3524,1549,159,1816
2011,City of London 001,E02000001,4084,1405,135,2544
2011,Croydon 001,E02000194,4097,2441,1141,515
2011,Croydon 002,E02000195,4030,1933,1616,481
2011,Croydon 003,E02000196,3107,1675,1068,364
2011,Croydon 004,E02000197,3817,2165,1228,424
2011,Croydon 005,E02000198,3364,1846,1125,393
2011,Croydon 006,E02000199,3619,2013,1192,414
2011,Croydon 007,E02000200,3741,2241,1122,378
2011,Croydon 008,E02000201,3429,2050,1026,353
2011,Croydon 009,E02000202,3682,1952,1251,479
2011,Croydon 010,E02000203,3229,1846,944,439
2011,Croydon 011,E02000204,3811,1972,1299,540
2011,Croydon 013,E02000206,3863,2136,1181,546
2011,Croydon 014,E02000207,3730,1952,1287,491
2011,Croydon 015,E02000208,3850,1943,1120,787
2011,Croydon 016,E02000209,3459,1641,1289,529
2011,Croydon 017,E02000210,4021,2113,1265,643
2011,Croydon 018,E02000211,3771,1321,2039,411
2011,Croydon 019,E02000212,3460,1654,1014,792
2011,Croydon 020,E02000213,3899,2205,855,839
2011,Croydon 021,E02000214,2914,1433,1057,424
2011,Croydon 022,E02000215,5253,3290,1074,889
2011,Croydon 023,E02000216,2956,1830,727,399
2011,Croydon 024,E02000217,4632,2405,1238,989
2011,Croydon 025,E02000218,2599,1153,1185,261
2011,Croydon 026,E02000219,3348,1319,1671,358
2011,Croydon 027,E02000220,5151,2847,1199,1105
2011,Croydon 028,E02000221,4070,1713,1644,713
2011,Croydon 029,E02000222,4000,2117,1311,572
2011,Croydon 030,E02000223,2657,1248,1044,365
2011,Croydon 031,E02000224,3821,1999,1388,434
2011,Croydon 032,E02000225,3050,1145,1476,429
2011,Croydon 033,E02000226,3371,1257,1751,363
2011,Croydon 034,E02000227,5419,1914,2958,547
2011,Croydon 035,E02000228,3218,1260,1649,309
