date,geography,geography code,all_personal transport,Occupation_Managers/directors/senior officials,Occupation_Professional occupations,Occupation_Associate professional and technical occupations,Occupation_Administrative and secretarial occupations,Occupation_Skilled trades occupations,Occupation_Caring/leisure/other service occupations,Occupation_Sales and customer service occupations,Occupation_Process/plant/machine operatives,Occupation_Elementary occupations,Age_16-24,Age_25-34,Age_35-49,Age_50-64,Age_>=65 ,Index(age under 34),Highest Level of Qualification_No qualifications,Highest Level of Qualification_Level 1,Highest Level of Qualification_Level 2,Highest Level of Qualification_Apprenticeship,Highest Level of Qualification_Level 3,Highest Level of Qualification_Level 4,Highest Level of Qualification_Other qualifications,Index(higher or equal to level 4),distance_<10km,distance_10km-30km,distance_>=30km,distance_Other,Index(distance less than 10km),work hour_Part-time_30 hours or less,work hour_Full-time_31 hours or less,Index(full time),sex_Males,sex_Females,Index(sex of males)
2011,Barking and Dagenham 001,E02000002,1076,78,158,102,118,172,120,74,144,110,71,254,438,278,35,0.30204461,165,186,193,30,133,286,83,0.342936803,586,262,58,170,0.544609665,277,799,0.742565056,613,463,0.569702602
2011,Barking and Dagenham 002,E02000003,1778,166,274,201,214,253,167,133,205,165,145,368,744,472,49,0.288526434,222,300,320,58,200,529,149,0.381327334,946,480,105,247,0.532058493,442,1336,0.751406074,1025,753,0.576490439
2011,Barking and Dagenham 003,E02000004,1322,101,194,155,175,212,117,102,159,107,126,243,515,399,39,0.279122542,205,248,228,56,190,308,87,0.298789713,718,368,60,176,0.54311649,324,998,0.754916793,736,586,0.556732224
2011,Barking and Dagenham 004,E02000005,1503,92,182,112,186,261,166,102,231,171,122,326,677,346,32,0.298070526,245,273,264,53,193,347,128,0.316034597,815,397,69,222,0.542248836,376,1127,0.749833666,881,622,0.586161011
2011,Barking and Dagenham 006,E02000007,1310,84,188,100,148,200,145,93,206,146,102,263,585,325,35,0.278625954,243,240,226,55,147,301,98,0.304580153,763,299,61,187,0.582442748,300,1010,0.770992366,746,564,0.569465649
2011,Barking and Dagenham 007,E02000008,1853,135,215,150,198,299,220,101,306,229,122,430,858,408,35,0.297895305,317,334,360,56,213,410,163,0.309228278,1008,458,86,301,0.543982731,448,1405,0.758229897,1107,746,0.597409606
2011,Barking and Dagenham 008,E02000009,1358,91,218,93,155,205,128,98,194,176,92,379,573,285,29,0.346833579,206,226,221,36,174,364,131,0.364506627,761,319,84,194,0.560382916,319,1039,0.765095729,790,568,0.58173785
2011,Barking and Dagenham 009,E02000010,1300,86,167,96,153,229,121,86,196,166,91,298,576,312,23,0.299230769,240,228,250,32,175,273,102,0.288461538,700,327,64,209,0.538461538,335,965,0.742307692,782,518,0.601538462
2011,Barking and Dagenham 010,E02000011,986,85,130,92,117,163,90,70,128,111,89,164,395,308,30,0.256592292,175,150,174,40,119,243,85,0.332657201,510,263,64,149,0.517241379,239,747,0.757606491,587,399,0.595334686
2011,Barking and Dagenham 011,E02000012,1563,196,241,173,176,194,118,116,229,120,134,362,600,428,39,0.317338452,208,253,192,59,181,470,200,0.428662828,891,320,85,267,0.570057582,410,1153,0.737683941,967,596,0.618682022
2011,Barking and Dagenham 012,E02000013,1298,102,154,115,134,224,134,94,194,147,97,304,540,334,23,0.308936826,225,234,228,55,131,291,134,0.32742681,723,320,60,195,0.557010786,329,969,0.746533128,767,531,0.590909091
2011,Barking and Dagenham 013,E02000014,1356,93,126,94,134,221,143,99,251,195,105,272,587,365,27,0.278023599,280,260,222,41,144,275,134,0.301622419,757,341,65,193,0.558259587,329,1027,0.757374631,847,509,0.624631268
2011,Barking and Dagenham 014,E02000015,1032,68,121,79,118,173,112,65,170,126,75,262,429,247,19,0.326550388,185,185,193,34,102,239,94,0.322674419,526,296,58,152,0.509689922,221,811,0.785852713,641,391,0.621124031
2011,Barking and Dagenham 015,E02000016,614,46,110,47,52,76,49,31,109,94,52,214,269,72,7,0.433224756,92,58,90,9,60,218,87,0.496742671,335,141,47,91,0.545602606,157,457,0.744299674,427,187,0.695439739
2011,Barking and Dagenham 016,E02000017,1030,105,194,91,82,130,74,85,177,92,86,292,400,237,15,0.366990291,126,143,124,18,100,372,147,0.503883495,530,255,76,169,0.514563107,266,764,0.741747573,708,322,0.687378641
2011,Barking and Dagenham 017,E02000018,1273,81,168,101,154,205,138,80,175,171,118,309,532,292,22,0.335428123,216,239,189,42,163,290,134,0.333071485,720,290,75,188,0.565593087,310,963,0.756480754,756,517,0.593872742
2011,Barking and Dagenham 018,E02000019,1325,83,167,132,137,183,129,101,239,154,86,289,631,296,23,0.283018868,244,237,224,26,121,334,139,0.356981132,696,355,56,218,0.525283019,331,994,0.750188679,815,510,0.61509434
2011,Barking and Dagenham 019,E02000020,1148,99,144,98,108,186,100,69,207,137,86,281,499,250,32,0.319686411,166,173,189,23,113,333,151,0.421602787,608,287,60,193,0.529616725,282,866,0.754355401,738,410,0.642857143
2011,Barking and Dagenham 020,E02000021,1264,93,156,110,139,224,103,102,187,150,106,253,552,335,18,0.284018987,201,223,209,43,131,332,125,0.361550633,648,369,60,187,0.512658228,298,966,0.764240506,763,501,0.603639241
2011,Barking and Dagenham 021,E02000022,711,51,99,53,41,104,51,47,164,101,40,218,344,99,10,0.362869198,113,87,91,12,78,222,108,0.464135021,333,192,38,148,0.46835443,180,531,0.746835443,512,199,0.720112518
2011,Barking and Dagenham 022,E02000023,788,67,93,66,77,112,85,50,134,104,54,223,346,155,10,0.351522843,109,135,113,25,78,232,96,0.416243655,413,209,44,122,0.524111675,198,590,0.748730964,512,276,0.649746193
2011,Barking and Dagenham 023,E02006799,1563,126,206,151,184,240,170,107,232,147,117,356,695,359,36,0.302623161,256,271,242,47,189,421,137,0.357005758,878,380,69,236,0.561740243,376,1187,0.75943698,913,650,0.584133077
2011,Barnet 001,E02000024,1954,247,661,287,177,191,140,89,93,69,133,346,714,653,108,0.245138178,115,193,236,42,211,1076,81,0.592118731,959,603,89,303,0.490788127,535,1419,0.726202661,1034,920,0.529170931
2011,Barnet 002,E02000025,1701,212,503,217,199,175,147,81,89,78,122,368,667,479,65,0.288065844,140,202,218,47,197,801,96,0.527336861,882,501,83,235,0.518518519,432,1269,0.746031746,853,848,0.501469724
2011,Barnet 003,E02000026,1438,221,365,178,190,146,132,75,62,69,108,253,541,459,77,0.251043115,120,183,202,34,174,641,84,0.504172462,805,359,74,200,0.559805285,414,1024,0.712100139,744,694,0.517385257
2011,Barnet 004,E02000027,1832,198,362,207,218,258,189,123,140,137,162,307,769,508,86,0.256004367,229,268,264,68,235,633,135,0.419213974,958,538,74,262,0.522925764,531,1301,0.710152838,952,880,0.519650655
2011,Barnet 005,E02000028,1343,192,339,218,188,130,115,65,46,50,106,283,499,389,66,0.289650037,102,149,206,21,156,639,70,0.527922561,737,391,51,164,0.548771407,358,985,0.733432614,695,648,0.517498138
2011,Barnet 006,E02000029,1804,222,428,245,217,225,175,80,124,88,127,374,749,492,62,0.277716186,153,248,281,62,207,737,116,0.472838137,987,451,91,275,0.547117517,492,1312,0.727272727,960,844,0.532150776
2011,Barnet 007,E02000030,2015,490,475,263,225,170,133,96,93,70,136,241,747,744,147,0.187096774,184,256,286,40,220,933,96,0.510669975,1012,711,80,212,0.502233251,573,1442,0.715632754,1108,907,0.549875931
2011,Barnet 008,E02000031,1229,197,376,160,140,112,101,61,43,39,75,239,454,376,85,0.25549227,79,124,130,26,117,671,82,0.612693247,702,299,63,165,0.571196094,344,885,0.72009764,678,551,0.551668023
2011,Barnet 009,E02000032,1700,271,408,221,213,196,158,76,78,79,107,272,677,565,79,0.222941176,152,224,217,38,230,730,109,0.493529412,1032,392,78,198,0.607058824,512,1188,0.698823529,882,818,0.518823529
2011,Barnet 010,E02000033,1637,203,336,207,228,209,146,111,97,100,102,365,683,429,58,0.285277947,141,228,268,53,205,616,126,0.453268173,966,379,65,227,0.590103849,469,1168,0.713500305,864,773,0.527794746
2011,Barnet 011,E02000034,1683,247,392,229,216,202,163,89,84,61,104,340,668,482,89,0.263814617,148,215,226,27,191,742,134,0.520499109,993,382,65,243,0.590017825,489,1194,0.709447415,873,810,0.518716578
2011,Barnet 012,E02000035,1257,210,347,180,128,122,94,63,65,48,63,293,474,354,73,0.283214002,80,118,145,23,128,658,105,0.607000796,686,316,56,199,0.545743835,355,902,0.717581543,691,566,0.549721559
2011,Barnet 013,E02000036,2196,307,513,260,307,239,199,133,123,115,140,466,868,622,100,0.275956284,188,270,288,36,265,965,184,0.523224044,1225,587,94,290,0.557832423,638,1558,0.709471767,1160,1036,0.528233151
2011,Barnet 014,E02000037,2016,327,617,245,282,109,173,116,84,63,137,374,667,708,130,0.253472222,159,236,269,34,230,967,121,0.53968254,1188,516,94,218,0.589285714,627,1389,0.688988095,1042,974,0.516865079
2011,Barnet 015,E02000038,1829,264,473,245,172,217,166,101,100,91,119,372,763,511,64,0.268452706,135,194,208,46,245,857,144,0.547293603,1038,411,85,295,0.567523237,545,1284,0.702022963,959,870,0.524330235
2011,Barnet 016,E02000039,1362,294,417,184,118,103,78,50,60,58,69,242,535,433,83,0.228340675,95,124,146,30,158,723,86,0.593979442,742,384,81,155,0.544787078,389,973,0.714390602,733,629,0.538179148
2011,Barnet 017,E02000040,1198,201,296,150,117,106,102,84,83,59,55,220,481,361,81,0.229549249,118,118,135,20,123,575,109,0.570951586,649,331,57,161,0.541736227,352,846,0.706176962,640,558,0.534223706
2011,Barnet 018,E02000041,1489,213,366,171,185,154,114,77,113,96,100,336,530,460,63,0.292813969,134,166,188,30,178,633,160,0.532572196,823,368,68,230,0.552719946,417,1072,0.719946273,843,646,0.56615178
2011,Barnet 019,E02000042,1525,206,474,181,133,172,87,83,111,78,78,402,591,395,59,0.314754098,106,121,142,22,172,800,162,0.630819672,780,393,84,268,0.51147541,369,1156,0.758032787,885,640,0.580327869
2011,Barnet 020,E02000043,1191,219,402,142,123,94,73,58,36,44,71,207,472,392,49,0.233417296,60,86,124,12,132,684,93,0.652392947,646,319,56,170,0.542401343,320,871,0.73131822,646,545,0.542401343
2011,Barnet 021,E02000044,1307,133,246,125,156,163,132,105,131,116,96,292,537,346,36,0.296863045,158,171,164,29,150,488,147,0.485845448,737,301,61,208,0.563886764,347,960,0.734506503,709,598,0.542463657
2011,Barnet 022,E02000045,1582,209,392,180,147,207,123,102,140,82,107,362,682,390,41,0.296460177,150,186,190,31,177,681,167,0.536030341,918,335,74,255,0.580278129,380,1202,0.759797724,883,699,0.558154235
2011,Barnet 023,E02000046,929,124,333,115,95,83,54,40,36,49,40,278,366,215,30,0.342303552,48,61,78,13,99,534,96,0.678148547,494,235,50,150,0.531754575,204,725,0.780409042,517,412,0.556512379
2011,Barnet 024,E02000047,1618,136,243,132,172,243,167,117,217,191,113,458,641,366,40,0.352904821,221,215,198,26,179,509,270,0.481458591,832,413,70,303,0.51421508,444,1174,0.725587145,954,664,0.589616811
2011,Barnet 025,E02000048,1967,370,591,273,198,164,138,102,79,52,99,461,739,548,120,0.284697509,134,177,199,22,203,1080,152,0.62633452,1121,486,104,256,0.569903406,538,1429,0.726487036,1066,901,0.541942044
2011,Barnet 026,E02000049,1053,93,162,105,94,138,111,72,160,118,66,268,469,215,35,0.317188984,129,116,139,13,117,380,159,0.511870845,584,256,44,169,0.554605888,310,743,0.705603039,629,424,0.597340931
2011,Barnet 027,E02000050,1554,220,410,195,125,180,98,103,110,113,102,390,612,392,58,0.316602317,115,158,151,29,169,773,159,0.5997426,886,328,81,259,0.57014157,398,1156,0.743886744,873,681,0.561776062
2011,Barnet 028,E02000051,1334,309,415,205,106,90,83,58,35,33,65,242,492,408,127,0.230134933,83,99,140,8,136,751,117,0.650674663,815,289,62,168,0.610944528,415,919,0.688905547,794,540,0.595202399
