date,geography,geography code,all_public transport,Occupation_Managers/directors/senior officials,Occupation_Professional occupations,Occupation_Associate professional and technical occupations,Occupation_Administrative and secretarial occupations,Occupation_Skilled trades occupations,Occupation_Caring/leisure/other service occupations,Occupation_Sales and customer service occupations,Occupation_Process/plant/machine operatives,Occupation_Elementary occupations,Age_16-24,Age_25-34,Age_35-49,Age_50-64,Age_>=65 ,Index(age under 34),Highest Level of Qualification_No qualifications,Highest Level of Qualification_Level 1,Highest Level of Qualification_Level 2,Highest Level of Qualification_Apprenticeship,Highest Level of Qualification_Level 3,Highest Level of Qualification_Level 4,Highest Level of Qualification_Other qualifications,Index(higher or equal to level 4),distance_<10km,distance_10km-30km,distance_>=30km,distance_Other,Index(distance less than 10km),work hour_Part-time_30 hours or less,work hour_Full-time_31 hours or less,Index(full time),sex_Males,sex_Females,Index(sex of males)
2011,Barking and Dagenham 001,E02000002,959,63,139,94,156,80,106,140,40,141,160,296,343,143,17,0.475495308,110,158,139,14,137,304,97,0.4181439,336,442,38,143,0.350364964,277,682,0.711157456,436,523,0.45464025
2011,Barking and Dagenham 002,E02000003,1963,150,322,236,406,154,178,204,75,238,310,598,666,356,33,0.46255731,139,308,321,34,274,708,179,0.451859399,547,1135,64,217,0.27865512,461,1502,0.765155374,958,1005,0.488028528
2011,Barking and Dagenham 003,E02000004,968,76,115,122,225,97,90,99,29,115,209,253,287,204,15,0.477272727,98,169,208,31,156,249,57,0.316115702,286,572,19,91,0.295454545,218,750,0.774793388,458,510,0.473140496
2011,Barking and Dagenham 004,E02000005,1430,95,174,128,257,157,176,159,74,210,239,393,535,242,21,0.441958042,181,198,259,28,196,413,155,0.397202797,542,648,44,196,0.379020979,379,1051,0.734965035,668,762,0.467132867
2011,Barking and Dagenham 006,E02000007,1424,65,225,113,209,117,192,179,68,256,262,412,496,235,19,0.473314607,175,248,239,23,176,460,103,0.395365169,537,626,63,198,0.377106742,443,981,0.688904494,640,784,0.449438202
2011,Barking and Dagenham 007,E02000008,1900,117,217,194,330,173,239,201,92,337,308,503,728,333,28,0.426842105,234,288,338,38,250,525,227,0.395789474,726,846,72,256,0.382105263,534,1366,0.718947368,812,1088,0.427368421
2011,Barking and Dagenham 008,E02000009,1550,82,195,131,235,145,185,180,68,329,265,441,565,253,26,0.455483871,194,220,263,28,176,469,200,0.431612903,570,674,64,242,0.367741935,454,1096,0.707096774,741,809,0.478064516
2011,Barking and Dagenham 009,E02000010,1564,73,211,148,231,168,197,169,84,283,270,429,592,250,23,0.446930946,198,248,281,28,160,469,180,0.414961637,549,731,68,216,0.351023018,443,1121,0.716751918,724,840,0.462915601
2011,Barking and Dagenham 010,E02000011,1265,65,173,136,254,131,133,126,65,182,227,293,478,244,23,0.411067194,124,222,233,23,170,392,101,0.38972332,378,648,50,189,0.298814229,329,936,0.739920949,588,677,0.464822134
2011,Barking and Dagenham 011,E02000012,1935,150,302,245,361,144,172,225,85,251,363,618,583,340,31,0.506976744,159,250,297,34,279,714,202,0.473385013,646,960,58,271,0.333850129,543,1392,0.719379845,966,969,0.499224806
2011,Barking and Dagenham 012,E02000013,1433,68,175,104,248,134,164,197,65,278,223,399,542,252,17,0.434054431,179,253,233,28,148,430,162,0.41311933,534,647,50,202,0.372644801,391,1042,0.727145848,658,775,0.459176553
2011,Barking and Dagenham 013,E02000014,1714,75,217,169,236,193,242,191,93,298,269,471,620,330,24,0.431738623,238,251,298,26,173,501,227,0.424737456,599,789,66,260,0.349474912,485,1229,0.717036173,790,924,0.460910152
2011,Barking and Dagenham 014,E02000015,1317,67,173,90,212,109,184,161,77,244,215,374,513,196,19,0.44722855,149,216,234,28,136,413,141,0.420652999,448,614,63,192,0.340167046,361,956,0.725892179,581,736,0.441154138
2011,Barking and Dagenham 015,E02000016,2130,151,455,243,205,157,200,261,75,383,282,1024,652,165,7,0.61314554,116,161,201,25,193,1052,382,0.673239437,685,1007,73,365,0.321596244,597,1533,0.71971831,1239,891,0.581690141
2011,Barking and Dagenham 016,E02000017,2038,128,323,219,253,206,164,266,84,395,354,787,579,291,27,0.55986261,160,208,266,30,196,847,331,0.578017664,664,944,80,350,0.325809617,659,1379,0.676643768,1190,848,0.58390579
2011,Barking and Dagenham 017,E02000018,1595,93,192,160,273,200,190,170,63,254,236,521,584,221,33,0.47460815,209,242,239,22,169,533,181,0.447648903,546,731,59,259,0.342319749,452,1143,0.71661442,749,846,0.469592476
2011,Barking and Dagenham 018,E02000019,1495,80,242,135,235,139,154,182,82,246,221,448,559,255,12,0.447491639,142,202,249,33,163,532,174,0.472240803,460,749,57,229,0.307692308,392,1103,0.737792642,711,784,0.475585284
2011,Barking and Dagenham 019,E02000020,1802,92,277,179,282,173,184,218,71,326,260,585,669,257,31,0.468923418,174,214,254,25,198,696,241,0.519977802,611,843,76,272,0.339067703,522,1280,0.710321865,917,885,0.508879023
2011,Barking and Dagenham 020,E02000021,1400,92,205,110,234,133,170,148,60,248,232,408,510,230,20,0.457142857,167,207,250,26,160,471,119,0.421428571,435,718,55,192,0.310714286,380,1020,0.728571429,618,782,0.441428571
2011,Barking and Dagenham 021,E02000022,1736,66,243,152,216,142,227,184,76,430,214,724,609,178,11,0.540322581,202,163,222,7,179,693,270,0.554723502,584,781,70,301,0.33640553,568,1168,0.67281106,857,879,0.493663594
2011,Barking and Dagenham 022,E02000023,1188,50,168,103,171,89,156,157,55,239,203,393,428,153,11,0.501683502,101,170,188,16,136,446,131,0.485690236,427,532,53,176,0.359427609,373,815,0.686026936,578,610,0.486531987
2011,Barking and Dagenham 023,E02006799,1573,113,189,153,279,154,164,198,74,249,261,502,571,206,33,0.485060394,189,232,263,29,198,480,182,0.420851875,550,727,75,221,0.34965035,468,1105,0.702479339,749,824,0.476160203
